regulator_oln_id	target_oln_id	gene_expression_evidence	binding_evidence	combinatorial_evidence	regulation_direction	pubmed_id
YBR049C	YGR078C	0	2	0		16522208,21329885
YBR083W	YBR070C	0	0	1		10535956
YBR083W	YGR149W	0	0	1		10535956
YBR182C	YCR073C	0	2	0		12399584,22720667
YDR146C	YDL035C	0	2	0		12399584,22720667
YDR207C	YPL147W	0	2	0		21329885,22720667
YHR084W	YLR042C	0	0	2		10535956
YDR310C	YOR213C	0	2	0		12399584,16522208
YDR421W	YHR135C	0	2	0		12399584,22720667
YEL009C	YBR147W	1	1	0		16522208,22114689
YHR084W	YBR117C	0	0	1		10535956
YHR084W	YLR414C	0	0	1		10535956
YHR006W	YBR040W	0	2	0		12399584,22720667
YHR084W	YLR403W	0	0	1		10535956
YKL043W	YEL070W	0	2	0		12399584,22720667
YKL109W	YLR168C	0	2	0		12399584,22720667
YKL112W	YDR312W	0	2	0		12399584,16522208
YKL112W	YGL222C	0	2	0		12399584,16522208
YKL112W	YMR061W	0	2	0		12399584,16522208
YKL112W	YMR129W	0	2	0		12399584,16522208
YLR131C	YDR156W	0	2	0		12399584,16522208
YLR182W	YDR113C	0	2	0		12399584,16522208
YLR403W	YJL035C	1	1	0		18524923,22720667
YNL068C	YOR247W	0	2	0		12399584,16522208
YNL216W	YBR181C	0	3	0		12399584,16522208,22498630
YNL216W	YOR344C	0	2	0		12399584,22498630
YPL038W	YAL012W	0	2	0		12399584,16522208
YPL089C	YCR018C-A	0	2	0		12399584,22720667
YBL103C	YEL050C	0	2	0		12399584,22720667
YBR083W	YHL021C	0	0	1		10535956
YBR083W	YHR152W	0	0	1		10535956
YBR083W	YHR156C	0	0	1		10535956
YBR083W	YIL087C	1	1	0	inactivates	20385592,22720667
YBR083W	YIL117C	0	1	1		10535956,22720667
YBR083W	YIR013C	0	0	1		10535956
YBR083W	YIR019C	1	0	2	inactivates	10535956,20385592
YBR083W	YJL016W	0	0	1		10535956
YBR083W	YJL142C	0	0	1		10535956
YBR083W	YJL186W	1	1	0	activates	16522208,20385592
YBR083W	YJR030C	1	1	0	activates	20385592,22720667
YBR083W	YJR153W	0	1	1		10535956,22720667
YBL103C	YJR148W	2	1	0	inactivates	16522208,17417638,20385592
YBL103C	YLR049C	1	1	0	activates	16522208,20385592
YBL103C	YLR089C	2	1	0	inactivates	17417638,20385592,22720667
YBL021C	YJR082C	0	2	0		12399584,22720667
YBL021C	YLL027W	0	2	0		12399584,22720667
YBL021C	YLR220W	0	2	0		12399584,22720667
YBL021C	YML119W	0	2	0		12399584,22720667
YBL021C	YML120C	0	2	0		12399584,22720667
YBL021C	YMR258C	0	2	0		12399584,22720667
YBL021C	YPL207W	0	2	0		12399584,22720667
YBR049C	YBL084C	0	2	0		21329885,22720667
YBR049C	YBL102W	0	2	0		21329885,22720667
YBR049C	YBL103C	0	2	0		21329885,22720667
YBR049C	YBL105C	0	2	0		21329885,22720667
YBR049C	YBR002C	0	2	0		21329885,22720667
YBL054W	YHR146W	1	1	0	activates	20385592,22720667
YBL054W	YLR297W	2	1	0	inactivates	17417638,20385592,22720667
YBL054W	YNL180C	1	1	0	activates	20385592,22720667
YAL051W	YDR207C	1	1	0	activates	20385592,22720667
YAL051W	YOL083W	1	1	0	inactivates	20385592,22720667
YAL051W	YPL016W	1	1	0	activates	20385592,22720667
YBL005W	YBL006C	1	1	0	activates	16522208,20385592
YBL005W	YBR110W	1	1	0	inactivates	20385592,22720667
YBL005W	YIL099W	1	1	0	inactivates	20385592,22720667
YBL005W	YKL007W	1	1	0	activates	20385592,22720667
YBL005W	YLR099C	1	1	0	activates	20385592,22720667
YBL005W	YLR334C	1	1	0	activates	20385592,22720667
YBL005W	YLR348C	1	1	0	activates	20385592,22720667
YBL005W	YMR251W-A	1	1	0	activates	20385592,22720667
YBL008W	YAR002W	0	2	0		12399584,22720667
YBL008W	YBR009C	0	2	0		12399584,22720667
YBL008W	YBR010W	0	2	0		12399584,22720667
YBL008W	YBR095C	0	2	0		12399584,22720667
YBL008W	YBR096W	0	2	0		12399584,22720667
YBL008W	YBR097W	0	2	0		12399584,22720667
YBL008W	YDR224C	0	2	0		12399584,22720667
YBR083W	YKL095W	1	1	0	inactivates	20385592,22720667
YBR083W	YKR061W	0	1	1		10535956,22720667
YBR083W	YLR042C	1	0	2	activates	10535956,20385592
YBR083W	YLR120C	0	0	1		10535956
YBR083W	YLR183C	1	1	0	activates	20385592,22720667
YBR083W	YLR307W	1	1	0	inactivates	20385592,22720667
YBR083W	YLR332W	0	0	1		10535956
YBR083W	YLR403W	0	0	1		10535956
YBR083W	YLR414C	0	0	1		10535956
YBR083W	YLR438W	0	0	1		10535956
YBR083W	YML100W	0	0	1		10535956
YBR083W	YMR125W	0	0	1		10535956
YBR049C	YOR260W	0	2	0		21329885,22720667
YBR083W	YMR173W	2	0	1	activates	10535956,17417638,20385592
YBR083W	YNL051W	0	0	1		10535956
YBR083W	YNL069C	1	1	0	inactivates	20385592,22720667
YBR083W	YNL159C	0	0	1		10535956
YBR083W	YNL166C	0	0	1		10535956
YBR083W	YNL283C	0	1	1		10535956,16522208
YBR083W	YNR040W	1	1	0	activates	20385592,22720667
YBR083W	YOL105C	1	1	0	activates	16522208,20385592
YBR083W	YOR051C	1	1	0	activates	20385592,22720667
YBR083W	YOR077W	0	0	1		10535956
YBR083W	YOR225W	0	0	1		10535956
YBR083W	YOR247W	0	0	1		10535956
YBR083W	YOR248W	0	0	1		10535956
YBR083W	YPL114W	0	0	1		10535956
YBR083W	YPR158W-A	1	1	0	activates	16522208,17417638
YBR112C	YAL061W	1	1	0	inactivates	21329885,24766815
YBR112C	YBR067C	1	1	0	inactivates	21329885,24766815
YBR112C	YBR072W	1	1	0	inactivates	21329885,24766815
YBR083W	YBL002W	0	0	1		10535956
YBR049C	YPL168W	0	2	0		21329885,22720667
YCR018C	YBR167C	0	2	0		12399584,22720667
YDR146C	YBR196C	1	1	0	activates	20385592,21329885
YDR207C	YJL051W	0	2	0		16522208,21329885
YDR253C	YNL144C	0	2	0		22438580,22720667
YDR259C	YDL037C	0	2	0		12399584,22720667
YDR310C	YBR179C	0	2	0		12399584,16522208
YDR421W	YDR375C	0	2	0		12399584,22720667
YDR392W	YLR216C	1	1	0	inactivates	20385592,21329885
YER169W	YBR033W	0	2	0		12399584,22720667
YGL013C	YDL082W	0	2	0		12399584,22720667
YGL073W	YNL006W	0	2	0		12399584,16522208
YGR044C	YFL034W	0	2	0		12399584,22720667
YHR084W	YCL026C-A	0	2	0		12399584,22720667
YKL112W	YKL007W	0	2	0		12399584,22720667
YKL112W	YNR037C	0	2	0		12399584,16522208
YLR131C	YDR154C	0	2	0		12399584,22720667
YLR182W	YIL123W	0	2	0		12399584,16522208
YLR182W	YJL185C	0	2	0		12399584,22720667
YLR451W	YNL103W	0	2	0		12399584,16522208
YML007W	YJR048W	0	2	0		21329885,22720667
